VAR_NAME,MIN_VALUE,MAX_VALUE,min_range,max_range,COUNT,EVENT,EVENT_RATE,NONEVENT,NON_EVENT_RATE,DIST_EVENT,DIST_NON_EVENT,bucket,WOE,IV
current_bal_for_active_accounts_13,32120.0,34817.0,30345.0,34817.0,6,4.0,0.6666666666666666,2.0,0.3333333333333333,0.008791208791208791,0.0273972602739726,"(30345.0, 34817.0]",1.136690797242614,0.24854115487420889
current_bal_for_active_accounts_13,36536.0,41719.0,34817.0,41719.0,6,6.0,1.0,0.0,0.0,0.013186813186813187,0.0,"(34817.0, 41719.0]",0.0,0.24854115487420889
current_bal_for_active_accounts_13,41931.0,44837.0,41719.0,44837.0,6,6.0,1.0,0.0,0.0,0.013186813186813187,0.0,"(41719.0, 44837.0]",0.0,0.24854115487420889
current_bal_for_active_accounts_13,45349.0,49998.0,44837.0,49998.0,6,5.0,0.8333333333333334,1.0,0.16666666666666666,0.01098901098901099,0.0136986301369863,"(44837.0, 49998.0]",0.22040006536845883,0.24854115487420889
current_bal_for_active_accounts_13,50503.0,60743.0,49998.0,60743.0,6,5.0,0.8333333333333334,1.0,0.16666666666666666,0.01098901098901099,0.0136986301369863,"(49998.0, 60743.0]",0.22040006536845883,0.24854115487420889
current_bal_for_active_accounts_13,62832.0,76000.0,60743.0,76000.0,6,4.0,0.6666666666666666,2.0,0.3333333333333333,0.008791208791208791,0.0273972602739726,"(60743.0, 76000.0]",1.136690797242614,0.24854115487420889
current_bal_for_active_accounts_13,78389.0,120412.0,76000.0,0.0,7,4.0,0.5714285714285714,3.0,0.42857142857142855,0.008791208791208791,0.0410958904109589,"(76000.0, inf]",1.5421559053507783,0.24854115487420889
current_bal_for_active_accounts_13,,,,,418,369.0,0.8827751196172249,49.0,0.11722488038277512,0.810989010989011,0.6712328767123288,missing,-0.18913836812734133,0.24854115487420889
no_acs_overdue_total_accounts_ratio_2,0.0,0.490196078,0.0,0.490196078,48,47.0,0.9791666666666666,1.0,0.020833333333333332,0.10329670329670329,0.0136986301369863,"(-inf, 0.490196078]",-2.020309623907499,0.20255727668687046
no_acs_overdue_total_accounts_ratio_2,2.3809523809999997,33.33333333,0.490196078,0.0,17,13.0,0.7647058823529411,4.0,0.23529411764705882,0.02857142857142857,0.0547945205479452,"(0.490196078, inf]",0.6511829814609131,0.20255727668687046
no_acs_overdue_total_accounts_ratio_2,,,,,463,395.0,0.8531317494600432,68.0,0.1468682505399568,0.8681318681318682,0.9315068493150684,missing,0.07045991807754412,0.20255727668687046
latest_cibil_score,-1.0,571.0,0.0,571.0,88,67.0,0.7613636363636364,21.0,0.23863636363636365,0.14725274725274726,0.2876712328767123,"(-inf, 571.0]",0.669667796135016,0.19166832972479753
latest_cibil_score,574.0,657.0,571.0,657.0,88,73.0,0.8295454545454546,15.0,0.17045454545454544,0.16043956043956045,0.2054794520547945,"(571.0, 657.0]",0.247428737756378,0.19166832972479753
latest_cibil_score,658.0,694.0,657.0,694.0,91,80.0,0.8791208791208791,11.0,0.12087912087912088,0.17582417582417584,0.1506849315068493,"(657.0, 694.0]",-0.15429338407295196,0.19166832972479753
latest_cibil_score,695.0,714.0,694.0,714.0,85,75.0,0.8823529411764706,10.0,0.11764705882352941,0.16483516483516483,0.136986301369863,"(694.0, 714.0]",-0.18506504273970553,0.19166832972479753
latest_cibil_score,715.0,731.0,714.0,731.0,92,82.0,0.8913043478260869,10.0,0.10869565217391304,0.18021978021978022,0.136986301369863,"(714.0, 731.0]",-0.2742961764676482,0.19166832972479753
latest_cibil_score,732.0,841.0,731.0,0.0,84,78.0,0.9285714285714286,6.0,0.07142857142857142,0.17142857142857143,0.0821917808219178,"(731.0, inf]",-0.7351113796589775,0.19166832972479753
total_value_of_accounts_52,8000.0,30000.0,0.0,30000.0,4,4.0,1.0,0.0,0.0,0.008791208791208791,0.0,"(-inf, 30000.0]",0.0,0.1827193407946715
total_value_of_accounts_52,50000.0,50000.0,30000.0,50000.0,6,5.0,0.8333333333333334,1.0,0.16666666666666666,0.01098901098901099,0.0136986301369863,"(30000.0, 50000.0]",0.22040006536845883,0.1827193407946715
total_value_of_accounts_52,66000.0,100000.0,50000.0,100000.0,6,6.0,1.0,0.0,0.0,0.013186813186813187,0.0,"(50000.0, 100000.0]",0.0,0.1827193407946715
total_value_of_accounts_52,125000.0,125000.0,100000.0,125000.0,1,1.0,1.0,0.0,0.0,0.002197802197802198,0.0,"(100000.0, 125000.0]",0.0,0.1827193407946715
total_value_of_accounts_52,150000.0,150000.0,125000.0,150000.0,3,2.0,0.6666666666666666,1.0,0.3333333333333333,0.004395604395604396,0.0136986301369863,"(125000.0, 150000.0]",1.136690797242614,0.1827193407946715
total_value_of_accounts_52,179340.0,200000.0,150000.0,200000.0,3,3.0,1.0,0.0,0.0,0.006593406593406593,0.0,"(150000.0, 200000.0]",0.0,0.1827193407946715
total_value_of_accounts_52,300000.0,300000.0,200000.0,300000.0,4,2.0,0.5,2.0,0.5,0.004395604395604396,0.0273972602739726,"(200000.0, 300000.0]",1.8298379778025593,0.1827193407946715
total_value_of_accounts_52,350000.0,500000.0,300000.0,500000.0,4,4.0,1.0,0.0,0.0,0.008791208791208791,0.0,"(300000.0, 500000.0]",0.0,0.1827193407946715
total_value_of_accounts_52,535000.0,600000.0,500000.0,600000.0,3,1.0,0.3333333333333333,2.0,0.6666666666666666,0.002197802197802198,0.0273972602739726,"(500000.0, 600000.0]",2.5229851583625047,0.1827193407946715
total_value_of_accounts_52,800000.0,6265952.0,600000.0,0.0,3,1.0,0.3333333333333333,2.0,0.6666666666666666,0.002197802197802198,0.0273972602739726,"(600000.0, inf]",2.5229851583625047,0.1827193407946715
total_value_of_accounts_52,,,,,491,426.0,0.8676171079429735,65.0,0.13238289205702647,0.9362637362637363,0.8904109589041096,missing,-0.05021409857117398,0.1827193407946715
current_bal_for_active_accounts_6,-1199.0,0.0,0.0,0.0,24,19.0,0.7916666666666666,5.0,0.20833333333333334,0.041758241758241756,0.0684931506849315,"(-inf, 0.0]",0.49483691107021915,0.16932505748878637
current_bal_for_active_accounts_6,400.0,1900.0,0.0,1900.0,12,12.0,1.0,0.0,0.0,0.026373626373626374,0.0,"(0.0, 1900.0]",0.0,0.16932505748878637
current_bal_for_active_accounts_6,2000.0,4229.0,1900.0,4229.0,11,7.0,0.6363636363636364,4.0,0.36363636363636365,0.015384615384615385,0.0547945205479452,"(1900.0, 4229.0]",1.2702221898671364,0.16932505748878637
current_bal_for_active_accounts_6,4499.0,6495.0,4229.0,6495.0,12,10.0,0.8333333333333334,2.0,0.16666666666666666,0.02197802197802198,0.0273972602739726,"(4229.0, 6495.0]",0.22040006536845883,0.16932505748878637
current_bal_for_active_accounts_6,6538.0,9387.0,6495.0,9387.0,12,10.0,0.8333333333333334,2.0,0.16666666666666666,0.02197802197802198,0.0273972602739726,"(6495.0, 9387.0]",0.22040006536845883,0.16932505748878637
current_bal_for_active_accounts_6,9825.0,11508.0,9387.0,11508.0,11,7.0,0.6363636363636364,4.0,0.36363636363636365,0.015384615384615385,0.0547945205479452,"(9387.0, 11508.0]",1.2702221898671364,0.16932505748878637
current_bal_for_active_accounts_6,11700.0,14464.0,11508.0,14464.0,12,9.0,0.75,3.0,0.25,0.01978021978021978,0.0410958904109589,"(11508.0, 14464.0]",0.7312256891344496,0.16932505748878637
current_bal_for_active_accounts_6,14545.0,16800.0,14464.0,16800.0,13,10.0,0.7692307692307693,3.0,0.23076923076923078,0.02197802197802198,0.0410958904109589,"(14464.0, 16800.0]",0.6258651734766232,0.16932505748878637
current_bal_for_active_accounts_6,17331.0,20000.0,16800.0,20000.0,10,10.0,1.0,0.0,0.0,0.02197802197802198,0.0,"(16800.0, 20000.0]",0.0,0.16932505748878637
current_bal_for_active_accounts_6,20464.0,26687.0,20000.0,26687.0,12,10.0,0.8333333333333334,2.0,0.16666666666666666,0.02197802197802198,0.0273972602739726,"(20000.0, 26687.0]",0.22040006536845883,0.16932505748878637
current_bal_for_active_accounts_6,27000.0,35383.0,26687.0,35383.0,12,10.0,0.8333333333333334,2.0,0.16666666666666666,0.02197802197802198,0.0273972602739726,"(26687.0, 35383.0]",0.22040006536845883,0.16932505748878637
current_bal_for_active_accounts_6,35743.0,143217.0,35383.0,0.0,12,11.0,0.9166666666666666,1.0,0.08333333333333333,0.024175824175824177,0.0136986301369863,"(35383.0, inf]",-0.5680572949958114,0.16932505748878637
current_bal_for_active_accounts_6,,,,,375,330.0,0.88,45.0,0.12,0.7252747252747253,0.6164383561643836,missing,-0.1625921868876468,0.16932505748878637
no_of_running_bl_pl_1,1.0,2.0,0.0,2.0,61,58.0,0.9508196721311475,3.0,0.04918032786885246,0.12747252747252746,0.0410958904109589,"(-inf, 2.0]",-1.1319927440757505,0.1623098543916513
no_of_running_bl_pl_1,3.0,17.0,2.0,0.0,18,12.0,0.6666666666666666,6.0,0.3333333333333333,0.026373626373626374,0.0821917808219178,"(2.0, inf]",1.136690797242614,0.1623098543916513
no_of_running_bl_pl_1,,,,,449,385.0,0.8574610244988864,64.0,0.14253897550111358,0.8461538461538461,0.8767123287671232,missing,0.03547772687444684,0.1623098543916513
current_bal_for_active_accounts_52,0.0,47067.0,0.0,47067.0,8,7.0,0.875,1.0,0.125,0.015384615384615385,0.0136986301369863,"(-inf, 47067.0]",-0.11607217125275414,0.16144755888900905
current_bal_for_active_accounts_52,57753.0,242786.0,47067.0,242786.0,8,6.0,0.75,2.0,0.25,0.013186813186813187,0.0273972602739726,"(47067.0, 242786.0]",0.7312256891344494,0.16144755888900905
current_bal_for_active_accounts_52,251280.0,3372962.0,242786.0,0.0,8,3.0,0.375,5.0,0.625,0.006593406593406593,0.0684931506849315,"(242786.0, inf]",2.34066360156855,0.16144755888900905
current_bal_for_active_accounts_52,,,,,504,439.0,0.871031746031746,65.0,0.12896825396825398,0.9648351648351648,0.8904109589041096,missing,-0.08027416537697497,0.16144755888900905
last_account_opened_months_10,0.0,2.0,0.0,2.0,21,19.0,0.9047619047619048,2.0,0.09523809523809523,0.041758241758241756,0.0273972602739726,"(-inf, 2.0]",-0.4214538208039359,0.16112422251903372
last_account_opened_months_10,3.0,4.0,2.0,4.0,16,15.0,0.9375,1.0,0.0625,0.03296703296703297,0.0136986301369863,"(2.0, 4.0]",-0.8782122232996509,0.16112422251903372
last_account_opened_months_10,5.0,5.0,4.0,5.0,7,5.0,0.7142857142857143,2.0,0.2857142857142857,0.01098901098901099,0.0273972602739726,"(4.0, 5.0]",0.9135472459284041,0.16112422251903372
last_account_opened_months_10,6.0,7.0,5.0,7.0,13,12.0,0.9230769230769231,1.0,0.07692307692307693,0.026373626373626374,0.0136986301369863,"(5.0, 7.0]",-0.6550686719854412,0.16112422251903372
last_account_opened_months_10,8.0,9.0,7.0,9.0,13,10.0,0.7692307692307693,3.0,0.23076923076923078,0.02197802197802198,0.0410958904109589,"(7.0, 9.0]",0.6258651734766232,0.16112422251903372
last_account_opened_months_10,10.0,10.0,9.0,10.0,4,2.0,0.5,2.0,0.5,0.004395604395604396,0.0273972602739726,"(9.0, 10.0]",1.8298379778025593,0.16112422251903372
last_account_opened_months_10,11.0,12.0,10.0,12.0,10,9.0,0.9,1.0,0.1,0.01978021978021978,0.0136986301369863,"(10.0, 12.0]",-0.3673865995336601,0.16112422251903372
last_account_opened_months_10,13.0,15.0,12.0,15.0,13,9.0,0.6923076923076923,4.0,0.3076923076923077,0.01978021978021978,0.0547945205479452,"(12.0, 15.0]",1.0189077615862305,0.16112422251903372
last_account_opened_months_10,16.0,16.0,15.0,16.0,8,7.0,0.875,1.0,0.125,0.015384615384615385,0.0136986301369863,"(15.0, 16.0]",-0.11607217125275414,0.16112422251903372
last_account_opened_months_10,17.0,20.0,16.0,20.0,11,10.0,0.9090909090909091,1.0,0.09090909090909091,0.02197802197802198,0.0136986301369863,"(16.0, 20.0]",-0.4727471151914865,0.16112422251903372
last_account_opened_months_10,21.0,23.0,20.0,23.0,13,13.0,1.0,0.0,0.0,0.02857142857142857,0.0,"(20.0, 23.0]",0.0,0.16112422251903372
last_account_opened_months_10,24.0,27.0,23.0,27.0,8,8.0,1.0,0.0,0.0,0.017582417582417582,0.0,"(23.0, 27.0]",0.0,0.16112422251903372
last_account_opened_months_10,29.0,33.0,27.0,33.0,12,11.0,0.9166666666666666,1.0,0.08333333333333333,0.024175824175824177,0.0136986301369863,"(27.0, 33.0]",-0.5680572949958114,0.16112422251903372
last_account_opened_months_10,34.0,42.0,33.0,42.0,9,8.0,0.8888888888888888,1.0,0.1111111111111111,0.017582417582417582,0.0136986301369863,"(33.0, 42.0]",-0.2496035638772767,0.16112422251903372
last_account_opened_months_10,43.0,50.0,42.0,50.0,11,9.0,0.8181818181818182,2.0,0.18181818181818182,0.01978021978021978,0.0273972602739726,"(42.0, 50.0]",0.32576058102628525,0.16112422251903372
last_account_opened_months_10,52.0,85.0,50.0,85.0,10,9.0,0.9,1.0,0.1,0.01978021978021978,0.0136986301369863,"(50.0, 85.0]",-0.3673865995336601,0.16112422251903372
